latitude,housing_median_age,total_rooms,total_bedrooms
33.58,2.0,2530.0,562.0
36.83,2.0,4055.0,735.0
33.58,2.0,30450.0,5033.0
33.82,2.0,4198.0,805.0
37.82,2.0,158.0,43.0
38.3,2.0,6718.0,858.0
34.38,2.0,5989.0,883.0
33.83,2.0,1424.0,251.0
33.19,2.0,2629.0,509.0
33.26,2.0,96.0,18.0
34.42,2.0,966.0,270.0
33.93,2.0,337.0,55.0
33.16,2.0,4624.0,946.0
33.57,2.0,20391.0,3245.0
37.72,2.0,2239.0,321.0
33.97,2.0,556.0,63.0
36.82,2.0,2579.0,376.0
37.73,2.0,2682.0,393.0
40.58,2.0,1937.0,350.0
37.78,2.0,1205.0,468.0
38.46,2.0,6992.0,1132.0
38.43,2.0,790.0,135.0
33.81,2.0,582.0,70.0
38.72,2.0,21897.0,3513.0
34.06,2.0,1658.0,290.0
33.63,2.0,4678.0,817.0
33.9,2.0,12837.0,1842.0
37.59,2.0,838.0,295.0
37.52,2.0,1871.0,409.0
37.74,2.0,200.0,20.0
33.65,2.0,4860.0,1193.0
33.61,2.0,2569.0,431.0
37.99,2.0,3129.0,707.0
34.0,2.0,7544.0,1516.0
34.12,2.0,11965.0,1802.0
33.89,2.0,17978.0,3217.0
34.6,2.0,11008.0,1549.0
33.7,2.0,6305.0,1265.0
34.16,2.0,718.0,98.0
37.59,2.0,5042.0,834.0
33.56,3.0,2443.0,637.0
37.55,3.0,6164.0,1175.0
34.52,3.0,6577.0,1056.0
33.8,3.0,5284.0,920.0
38.43,3.0,39320.0,6210.0
33.69,3.0,6484.0,1037.0
38.39,3.0,9488.0,1417.0
33.55,3.0,1618.0,266.0
38.59,3.0,4188.0,1136.0
33.52,3.0,7374.0,1444.0
36.85,3.0,10425.0,2121.0
37.99,3.0,1167.0,306.0
32.87,3.0,1629.0,317.0
38.66,3.0,3438.0,603.0
33.73,3.0,8240.0,1410.0
33.52,3.0,830.0,145.0
33.67,3.0,4541.0,720.0
37.38,3.0,4778.0,1047.0
34.49,3.0,7689.0,1545.0
36.87,3.0,13802.0,2244.0
33.98,3.0,9662.0,1385.0
38.28,3.0,7030.0,1191.0
36.91,3.0,7520.0,1143.0
33.98,3.0,475.0,155.0
37.98,3.0,2850.0,544.0
33.53,3.0,6388.0,920.0
37.66,3.0,1565.0,464.0
33.97,3.0,18356.0,2537.0
33.7,3.0,3636.0,749.0
37.37,3.0,4430.0,841.0
38.43,3.0,2696.0,384.0
33.84,3.0,9169.0,1512.0
36.83,3.0,2029.0,336.0
32.97,3.0,17466.0,3336.0
33.44,3.0,5813.0,1264.0
33.64,3.0,8874.0,1302.0
38.77,3.0,20214.0,3559.0
33.93,3.0,1240.0,151.0
33.9,3.0,21060.0,3366.0
32.96,3.0,6251.0,988.0
33.61,3.0,2744.0,428.0
33.66,3.0,1206.0,256.0
33.69,3.0,945.0,115.0
38.33,3.0,7985.0,1257.0
37.7,3.0,2456.0,582.0
34.12,3.0,15695.0,2248.0
33.61,3.0,2993.0,429.0
37.52,3.0,14014.0,2861.0
33.68,3.0,7105.0,1459.0
37.78,3.0,3464.0,1179.0
33.65,3.0,7437.0,1222.0
35.3,3.0,2821.0,519.0
34.04,3.0,12870.0,2315.0
33.68,3.0,3068.0,494.0
33.49,3.0,2516.0,429.0
38.0,3.0,9217.0,1522.0
34.07,3.0,5542.0,828.0
34.16,3.0,1170.0,148.0
34.48,3.0,16533.0,2549.0
34.15,3.0,12806.0,2219.0
37.08,3.0,3425.0,611.0
