total_rooms,total_bedrooms,population,households
1565.0,464.0,769.0,461.0
18356.0,2537.0,8437.0,2342.0
3636.0,749.0,1486.0,696.0
4430.0,841.0,2559.0,801.0
2696.0,384.0,990.0,316.0
9169.0,1512.0,3838.0,1270.0
2029.0,336.0,1003.0,340.0
17466.0,3336.0,7644.0,2895.0
5813.0,1264.0,2363.0,1041.0
8874.0,1302.0,3191.0,1027.0
20214.0,3559.0,8361.0,3112.0
1240.0,151.0,519.0,146.0
21060.0,3366.0,9623.0,2812.0
6251.0,988.0,2330.0,893.0
2744.0,428.0,1223.0,366.0
1206.0,256.0,563.0,287.0
945.0,115.0,337.0,123.0
7985.0,1257.0,3664.0,1215.0
2456.0,582.0,793.0,456.0
15695.0,2248.0,6080.0,1920.0
2993.0,429.0,991.0,390.0
14014.0,2861.0,7205.0,2753.0
7105.0,1459.0,3068.0,1241.0
3464.0,1179.0,1441.0,919.0
7437.0,1222.0,574.0,302.0
2821.0,519.0,1353.0,495.0
12870.0,2315.0,5820.0,1759.0
3068.0,494.0,1357.0,486.0
2516.0,429.0,781.0,337.0
9217.0,1522.0,3578.0,1272.0
5542.0,828.0,2506.0,806.0
1170.0,148.0,493.0,142.0
16533.0,2549.0,7588.0,2285.0
12806.0,2219.0,4249.0,1499.0
3425.0,611.0,1588.0,459.0
